dataset,label_binary,attack_raw,attack_macro,attack_map_status,videos,subjects_recovered,sampled_frame_rows
casia_fasd,0,,live,LIVE,100,50,800
casia_fasd,1,3,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,4,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,5,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,6,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,7,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,8,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,HR_1,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,HR_2,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,HR_3,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
casia_fasd,1,HR_4,other_spoof,UNMAPPED_OTHER_SPOOF,50,50,400
msu_mfsd,0,,live,LIVE,70,35,560
msu_mfsd,1,ipad_video,replay,MAPPED,70,35,560
msu_mfsd,1,iphone_video,replay,MAPPED,70,35,560
msu_mfsd,1,printed_photo,print,MAPPED,70,35,560
siwmv2,0,,live,LIVE,785,0,6280
siwmv2,1,Makeup_Cosmetic,makeup,MAPPED,52,0,416
siwmv2,1,Makeup_Impersonation,makeup,MAPPED,61,0,488
siwmv2,1,Makeup_Obfuscation,makeup,MAPPED,22,0,176
siwmv2,1,Mannequin,mask_3d,MAPPED,40,0,320
siwmv2,1,Mask_HalfMask,mask_3d,MAPPED,72,0,576
siwmv2,1,Mask_PaperMask,mask_2d,MAPPED,17,0,136
siwmv2,1,Mask_TransparentMask,mask_3d,MAPPED,60,0,480
siwmv2,1,Paper,other_spoof,UNMAPPED_OTHER_SPOOF,135,0,1080
siwmv2,1,Partial_Eye,partial,MAPPED,57,0,456
siwmv2,1,Partial_FunnyeyeGlasses,partial,MAPPED,179,0,1432
siwmv2,1,Partial_Mouth,partial,MAPPED,29,0,232
siwmv2,1,Partial_PaperGlasses,partial,MAPPED,76,0,608
siwmv2,1,Replay,replay,MAPPED,98,0,784
siwmv2,1,Silicone,mask_3d,MAPPED,17,0,136
