claim_id,claim,claim_type,evidence_files,status,notes
C-M0-01,The frozen spec used is SHA256 f7d2371682ad9504f59f0c6984e4b1a741f855f1b1f60838f9d60b160281489e,provenance,outputs/audit/SPEC_PROVENANCE.md;docs/spec/GPAT_TransferBench_v1_0_Frozen_Specification_2026.docx;tests/test_m0_bootstrap.py,SUPPORTED,Hash re-checked by unit test
C-M0-02,configs/frozen/downstream_resnet18.yaml and configs/methods/gpat_b0.yaml are verbatim copies of spec §23.1/§23.2,provenance,tools/extract_spec_yaml.py;tests/test_m0_bootstrap.py;frozen_config_snapshot/,SUPPORTED,Test re-extracts from DOCX and compares bytes
C-M0-03,No model was trained and no TEST data was accessed in M0,process,outputs/audit/EXECUTION_LEDGER.jsonl;outputs/audit/STAGE_STATE.json,SUPPORTED,Ledger contains no training/evaluation commands; runs/ and manifests/ empty
C-M0-04,Old PRISM projects were not modified,process,outputs/audit/PRISM_REUSE_AUDIT.md;outputs/audit/EXECUTION_LEDGER.jsonl,SUPPORTED,Only read commands; git status with GIT_OPTIONAL_LOCKS=0
C-M1-01,All 125841 files under the three selected dataset roots are indexed with SHA256; 0 unreadable,inventory,manifests/raw_file_index.parquet;outputs/audit/dataset_inventory_summary.csv;tests/test_m1_artifacts.py,SUPPORTED,run C; byte-identical to run B
C-M1-02,inventory.parquet has 20640 sampled-frame rows with no duplicate sample_id,inventory,manifests/inventory.parquet;tests/test_m1_artifacts.py,SUPPORTED,sample_id recomputed in tests
C-M1-03,SiW-Mv2 subject identity is not recoverable from the local copy (0/1700 videos),data-limitation,outputs/audit/M1_DATASET_EVIDENCE.md;outputs/audit/dataset_integrity_issues.csv,SUPPORTED,blocks M3 main split for SiW-Mv2
C-M1-04,CASIA fs* files are exact horizontal flips of canonical frames (6337/6337),inventory,outputs/audit/m1_inventory_facts.json,SUPPORTED,measured on every derived file
C-M1-05,Raw datasets were not modified by the inventory,process,outputs/audit/m1_inventory_run.json (raw_data_unchanged);tests/test_m1_inventory.py,SUPPORTED,size+mtime snapshot before/after
C-M1-06,"CASIA local copy has 600 sequences = 150 live + 450 spoof across 50 subjects (train N, test 20+N)",inventory,manifests/inventory_videos.parquet;outputs/audit/dataset_inventory_summary.csv;tests/test_m1_artifacts.py;outputs/audit/deviation_report.md (DEV-010),SUPPORTED,M1 correction pass; mapping verified against all 600 sequences
C-M1-07,"SiW-Mv2 folder 'Paper' is the official Print attack, not paper mask",provenance,configs/frozen/attack_map_v1.yaml;outputs/audit/M1_DATASET_EVIDENCE.md §5.2,SUPPORTED,official repo @8667dbc config_siwm.py spoof_type_dict; supplementary Table 1 counts
C-M1-08,No original CASIA-FASD video copy exists on this laptop,data-limitation,outputs/audit/M1_DATASET_EVIDENCE.md §5.1;outputs/audit/deviation_report.md (Q-15),SUPPORTED,read-only search of /home/cong and /media/cong/Data
C-M1-09,Frame indices are preserved across decode failures for all 1980 MSU/SiW videos,decoder,outputs/audit/DECODER_INDEX_AUDIT.md;outputs/audit/decoder_index_audit.csv;outputs/audit/decoder_index_global.csv;tests/test_dataset_resolution.py,SUPPORTED,independent PyAV 18.1.0 reference; OpenCV POS_FRAMES not trustworthy after failure
C-M1-10,No authoritative SiW-Mv2 video-to-person mapping exists in local or official sources,data-limitation,outputs/audit/SIW_PROTOCOL_NAME_SEMANTICS.md;outputs/audit/siw_subject_mapping_candidate.csv,SUPPORTED,official repo @8667dbc; protocol names = video stems
C-M1-11,"CASIA 112->256 INTER_CUBIC reduces relative high-frequency power ~5-6x on the 256 grid, equally for live and spoof",diagnostic,outputs/audit/CASIA_RESIZE_FREQUENCY_AUDIT.md;outputs/audit/CASIA_RESIZE_FREQUENCY_AUDIT.csv,SUPPORTED,4800 inventory-selected frames; diagnostic only
D-POOL-01,REQUIRED DISCLOSURE: CASIA-FASD comes from a pre-cropped 112x112 local derivative,disclosure,outputs/audit/CASIA_SOURCE_AUDIT.md;outputs/audit/casia_source_audit.json;configs/frozen/dataset_protocol_policy_v1.yaml,MANDATORY_FOR_ANY_POOLED_RESULT,DEV-011
D-POOL-02,REQUIRED DISCLOSURE: CASIA uses approved deterministic 112->256 INTER_CUBIC controlled preprocessing without SCRFD; not equivalent to the nominal path,disclosure,outputs/audit/CASIA_CONTROLLED_ADAPTATION_PROPOSAL.md;outputs/audit/CASIA_RESIZE_FREQUENCY_AUDIT.md;outputs/audit/deviation_report.md (DEV-011),MANDATORY_FOR_ANY_POOLED_RESULT,frequency audit must stay attached
D-POOL-03,REQUIRED DISCLOSURE: CASIA-FASD and MSU-MFSD splits are subject-disjoint,disclosure,configs/frozen/dataset_protocol_policy_v1.yaml;outputs/audit/DATASET_PROTOCOL_DECISIONS.md,MANDATORY_FOR_ANY_POOLED_RESULT,verified at M3 by the split audit
D-POOL-04,REQUIRED DISCLOSURE: SiW-Mv2 uses a deterministic video-disjoint split with exact-content duplicate grouping because reliable subject identifiers were unavailable,disclosure,outputs/audit/deviation_report.md (DEV-012);outputs/audit/SIW_PROTOCOL_NAME_SEMANTICS.md;outputs/audit/siw_content_groups.csv,MANDATORY_FOR_ANY_POOLED_RESULT,Q-14
D-POOL-05,REQUIRED DISCLOSURE: the pooled benchmark is NOT uniformly subject-disjoint (forbidden: 'All three datasets are subject-disjoint'),disclosure,configs/frozen/dataset_protocol_policy_v1.yaml (forbidden_statements),MANDATORY_FOR_ANY_POOLED_RESULT,pooled_benchmark_fidelity=MIXED
D-POOL-06,"REQUIRED DISCLOSURE: SiW-Mv2 source-target pairs are different-video and different-exact-content, not proven different-person",disclosure,outputs/audit/deviation_report.md (DEV-013);configs/frozen/dataset_protocol_policy_v1.yaml,MANDATORY_FOR_ANY_PAIR_RESULT,identity-preservation metric unaffected
C-M2A-01,"FaceXFormer weights/code used are the official release (HF kartiknarayan/facexformer@fd12148d; GitHub @10fe8291), hash-exact",provenance,outputs/audit/M2A_MODEL_PROVENANCE.csv;outputs/audit/M2A_AUX_MODEL_RESOLUTION.md;models/registry.yaml,SUPPORTED,strict load; runtime hash guard
C-M2A-02,"The local AdaFace file is CVLFace AdaFace IR-50 WebFace4M (HF minchul/cvlface_adaface_ir50_webface4m@60a65bef), hash-exact; its checkpoint choice and input contract are pending (Q-03, Q-18, Q-19)",provenance,outputs/audit/M2A_MODEL_PROVENANCE.csv;outputs/audit/M2A_AUX_MODEL_RESOLUTION.md,SUPPORTED_WITH_OPEN_QUESTIONS,not yet usable for scientific cache
C-M2A-03,"The M2 preprocessing pipeline is byte-deterministic on the laptop CPU environment (24-sample diagnostic smoke, 208/208 files)",determinism,outputs/audit/M2A_DETERMINISM_REPORT.md;outputs/audit/M2A_DETERMINISM_COMPARE.json,SUPPORTED,same host only; provisional settings
